state,v1990,v2000,v2006,v2007,v2008,v2009
Alabama,15.68078794,19.0347025,21.1,21.4,22,22
Alaska,23.03349421,24.71493008,26.9,26,27.3,26.6
Arizona,20.2884437,23.53097982,25.5,25.3,25.1,25.6
Arkansas,13.32112422,16.66058226,18.2,19.3,18.8,18.9
California,23.35681974,26.62093348,29,29.5,29.6,29.9
Colorado,26.96898825,32.69266507,34.3,35,35.6,35.9
Connecticut,27.18067562,31.40741683,33.7,34.7,35.6,35.6
Delaware,21.40541752,25.04906171,27,26.1,27.5,28.7
District of Columbia,33.31084665,39.06978559,45.9,47.5,48.2,48.5
Florida,18.27809489,22.33475999,25.3,25.8,25.8,25.3
Georgia,19.31585567,24.29977834,26.6,27.1,27.5,27.5
Hawaii,22.8824209,26.17408349,29.7,29.2,29.1,29.6
Idaho,17.65115784,21.66525927,23.3,24.5,24,23.9
Illinois,21.0448414,26.06138377,28.9,29.5,29.9,30.6
Indiana,15.5594116,19.40814399,21.7,22.1,22.9,22.5
Iowa,16.8500865,21.20888928,24,24.3,24.3,25.1
Kansas,21.09773324,25.80391451,28.6,28.8,29.6,29.5
Kentucky,13.63109528,17.13533533,20,20,19.7,21
Louisiana,16.12628962,18.72758036,20.3,20.4,20.3,21.4
Maine,18.77194063,22.87177848,25.8,26.7,25.4,26.9
Maryland,26.45701668,31.44986762,35.1,35.2,35.2,35.7
Massachusetts,27.23216235,33.18988364,37,37.9,38.1,38.2
Michigan,17.3559667,21.76234164,24.5,24.7,24.7,24.6
Minnesota,21.82170982,27.43322868,30.4,31,31.5,31.5
Mississippi,14.74642251,16.90401857,18.8,18.9,19.4,19.6
Missouri,17.79574484,21.58174104,24.3,24.5,25,25.2
Montana,19.79340397,24.37024928,27.4,27,27.1,27.4
Nebraska,18.94103603,23.74266607,26.9,27.5,27.1,27.4
Nevada,15.27788683,18.15595767,20.8,21.8,21.9,21.8
New Hampshire,24.36510182,28.65385012,31.9,32.5,33.3,32
New Jersey,24.85402807,29.7794425,33.4,33.9,34.4,34.5
New Mexico,20.41383496,23.45336319,25.3,24.8,24.7,25.3
New York,23.1316414,27.3725505,31.2,31.7,31.9,32.4
North Carolina,17.37510386,22.46288752,24.8,25.6,26.1,26.5
North Dakota,18.0655655,21.98881506,25.6,25.7,26.9,25.8
Ohio,16.97293944,21.09534333,23,24.1,24.1,24.1
Oklahoma,17.78915158,20.27852556,22.1,22.8,22.2,22.7
Oregon,20.59811283,25.08069754,27.5,28.3,28.1,29.2
Pennsylvania,17.94434399,22.35140965,25.4,25.8,26.3,26.4
Rhode Island,21.27000892,25.60090876,29.6,29.8,30,30.5
South Carolina,16.6467367,20.41806465,22.7,23.5,23.7,24.3
South Dakota,17.16399535,21.50523127,24.8,25,25.1,25.1
Tennessee,15.95987469,19.56480872,21.7,21.8,22.9,23
Texas,20.31796388,23.23757223,24.7,25.2,25.3,25.5
Utah,22.26104148,26.12614493,28.6,28.7,29.1,28.5
Vermont,24.31216672,29.4453804,32.4,33.6,32.1,33.1
Virginia,24.47646607,29.46461365,32.7,33.6,33.7,34
Washington,22.93280749,27.73149729,30.5,30.3,30.7,31
West Virginia,12.33334983,14.83161625,16.5,17.3,17.1,17.3
Wisconsin,17.74175513,22.41945776,25.1,25.4,25.7,25.7
Wyoming,18.79079379,21.91007499,22.7,23.4,23.6,23.8
