state,v1990,v2000,v2006,v2007,v2008,v2009
Alabama,66.86377564,75.2690656,80.1,80.4,81.9,82.1
Alaska,86.62952302,88.33321038,89.7,90.5,91.6,91.4
Arizona,78.65961636,80.97321896,83.8,83.5,83.8,84.2
Arkansas,66.34822712,75.30909196,80.5,81.1,82,82.4
California,76.19465519,76.79343534,80.1,80.2,80.2,80.6
Colorado,84.43071713,86.92520291,88,88.9,88.9,89.3
Connecticut,79.2080176,83.98443643,88,88,88.6,88.6
Delaware,77.48606181,82.60281585,85.5,87.4,87.2,87.4
District of Columbia,73.14649831,77.8306266,84.3,85.7,85.8,87.1
Florida,74.44547014,79.86376886,84.5,84.9,85.2,85.3
Georgia,70.92485995,78.57006362,82.2,82.9,83.9,83.9
Hawaii,80.0645234,84.57139582,89,89.4,90.3,90.4
Idaho,79.74578075,84.71616053,87.3,88.4,87.9,88.4
Illinois,76.20228053,81.43335736,85,85.7,85.9,86.4
Indiana,75.64059872,82.13484883,85.2,85.8,86.2,86.6
Iowa,80.08777588,86.10464086,88.9,89.6,90.3,90.5
Kansas,81.27177611,86.02174809,88.5,89.1,89.5,89.7
Kentucky,64.61370629,74.11575058,79.6,80.1,81.3,81.7
Louisiana,68.3139968,74.81318466,79.4,79.9,81.2,82.2
Maine,78.82638921,85.36739576,88.7,89.4,89.7,90.2
Maryland,78.41804997,83.83434008,87.1,87.4,88,88.2
Massachusetts,79.99463937,84.76360637,87.9,88.4,88.7,89
Michigan,76.77833076,83.41423339,87.2,87.4,88.1,87.9
Minnesota,82.35863337,87.9486908,90.7,91,91.6,91.5
Mississippi,64.28290633,72.85773054,77.9,78.5,79.9,80.4
Missouri,73.92230294,81.31739858,84.8,85.6,86.5,86.8
Montana,81.00446785,87.15388641,90.1,90,90.9,90.8
Nebraska,81.82097467,86.58429916,89.5,89.6,90.1,89.8
Nevada,78.77153835,80.66107149,83.9,83.7,83.5,83.9
New Hampshire,82.1509916,87.40829649,89.9,90.5,90.9,91.3
New Jersey,76.67147417,82.06940543,86.1,87,87.4,87.4
New Mexico,75.07300101,78.85259178,81.5,82.3,82.4,82.8
New York,74.80571463,79.06066205,84.1,84.1,84.1,84.7
North Carolina,69.96006107,78.1426214,82,83,83.6,84.3
North Dakota,76.6922204,83.85745928,88.1,89,89.6,90.1
Ohio,75.66865817,82.97181229,86.2,87.1,87.6,87.6
Oklahoma,74.59382066,80.60828632,84.3,84.8,85.5,85.6
Oregon,81.48028775,85.12610851,87.6,88,88.6,89.1
Pennsylvania,74.66918297,81.90111784,86.2,86.8,87.5,87.9
Rhode Island,72.02483929,77.9596961,82.4,83,83.7,84.7
South Carolina,68.2938194,76.33757189,81.3,82.1,83.2,83.6
South Dakota,77.06852497,84.5728657,88.3,88.2,90.3,89.9
Tennessee,67.06300537,75.92252775,80.9,81.4,83,83.1
Texas,72.13976289,75.65016766,78.6,79.1,79.6,79.9
Utah,85.14299788,87.72752469,90.2,90.2,90.4,90.4
Vermont,80.78713488,86.41937742,89.8,90.3,90.6,91
Virginia,75.16354224,81.47227495,85.4,85.9,85.9,86.6
Washington,83.82213991,87.08464805,89,89.3,89.6,89.7
West Virginia,65.98919921,75.20924852,81,81.2,82.2,82.8
Wisconsin,78.60298504,85.08529356,88.4,89,89.6,89.8
Wyoming,83.03878403,87.86142183,90.2,91.2,91.7,91.8
